M_1,M_2,mu,tan_beta,M_3,At,Ab,Atau,mA,mqL3,mtR,mbR,DM_relic_density
1560.2449,349.94913,186.18735,24.12498664855957,3479.3865,1590.2957,1601.2097,1081.7433,4912.093,3819.487548828125,4131.7216796875,3952.087890625,-5.326716795967678
-522.8097,1570.0409,1124.3002,53.7919,3061.1643,-1350.6636,-1404.2455,-994.9276,3118.7231,3301.162,2776.7627,3695.325,1.449269160281279
172.97008,-745.212,1359.6073,57.93828201293945,1728.253,-5696.1333,545.50616,24.962122,3305.7607,2813.63330078125,4003.136962890625,4367.00830078125,1.6733512238636918
1623.4397,-1723.0262,1090.8977,32.38628387451172,1630.1871,4101.4453,-1718.224,65.49524,3006.8293,2036.975341796875,2438.64990234375,4546.54736328125,-1.8643301543719686
-697.36725,293.0515,644.81195,16.53271484375,3666.4736,-3613.6165,-20.668911,-50.025227,1793.0931,2961.55078125,2560.1025390625,2433.652099609375,-5.979536000066898
1281.0784,-1584.1573,-1657.8352,9.898283,3318.5747,-1820.3259,168.16183,-696.59735,1885.423,3957.2004,3491.1135,2089.286,1.6486586255873816
1454.6243,847.8314,244.26447,36.40187,2550.6516,2986.2046,-1859.2125,520.04034,4278.5635,4651.201,4903.3887,2197.0906,-4.636660853079462
-1590.0695,-492.44037,833.67487,40.55351,2921.878,-2985.7014,-1067.7281,-338.6769,2542.1604,2709.05,3481.3071,3944.8958,-4.585367558691911
458.17456,501.61722,-1565.4275,52.26721,4069.0994,5491.1187,1827.4323,-576.4609,4100.2046,3005.909,3161.425,3444.028,1.4036429994545037
-137.57172,1450.6923,-602.33905,47.411991119384766,2436.0586,-6099.348,37.680237,1428.3585,4552.848,3326.073486328125,3963.003173828125,2346.898681640625,0.5933268136642206
-722.7226,729.9944,-1591.7128,23.151865,2136.8765,-1158.6926,580.56915,1089.4226,2100.213,4755.027,4884.053,4886.67,-0.23445731121448316
-868.068,935.3679,-89.97932,21.271547,3751.6665,-362.37067,1635.9034,1368.5657,1707.0894,3041.0571,2842.9888,3935.9573,-6.234810805739711
-1280.961,767.9271,-87.57043,8.74193286895752,2232.1052,2953.6682,-1180.4205,681.1705,4183.98,4027.003173828125,4270.72607421875,2855.75390625,-5.995472528021064
-750.01624,-730.4986,175.85104,3.9584942,2873.1978,-5612.2773,1641.8695,-441.31995,3959.3196,4517.854,2283.4778,2935.4272,-4.8146574108548155
-963.251,-477.00262,-1867.7227,17.17141,4388.7266,-5108.409,-1625.3491,585.71454,4151.8403,3044.7637,3674.5908,4110.959,-4.64703439008679
1203.071,-1454.1715,598.08386,3.848493814468384,3188.5405,7332.674,1377.8127,1732.7336,2696.6926,2798.0966796875,4168.3017578125,3954.22119140625,-2.93557833064153
1008.9116,1496.1857,-1716.0471,11.95220184326172,2598.787,3704.9258,1588.33,597.38403,4947.7124,2899.021728515625,4404.48876953125,4140.1953125,2.4595888255015854
-260.48972,1103.9187,-1312.0479,55.70431518554688,4997.847,-3977.694,-1961.5856,-86.17907,4219.4004,4866.57421875,3217.130859375,4683.96728515625,1.5496879161274713
-86.108025,-1125.475,1495.436,53.93218612670898,1802.2673,-6727.8325,1614.5469,-373.72232,2545.347,3915.25341796875,4479.9794921875,3916.3173828125,6.956545443151569
1412.8945,1585.9326,744.74445,38.54636,2619.1199,-7692.051,-1704.2708,496.0547,3548.0608,3659.1482,4995.3687,3392.442,-2.613194670089531
882.21985,-1017.31287,-1103.5184,56.591248,2352.019,-2160.8552,196.62251,-1987.9683,4677.077,2594.555,3401.4978,3610.8247,1.5539252025038417
564.42896,-485.07715,-259.35864,33.55788803100586,1051.2845,-5243.1333,1037.6514,-1455.5431,1030.137,2896.426513671875,4409.5771484375,4192.4990234375,-4.500810191337534
-1831.778,-754.0489,622.53467,21.495989,2723.481,-3444.7258,1447.4961,1220.2738,3334.769,3654.3008,3498.404,3128.8718,-3.0138962441816624
1363.0992,160.42386,-268.66962,40.66885757446289,1311.5159,2021.966,-850.16925,1105.4996,2012.5289,3782.8291015625,3034.08349609375,4805.01416015625,-7.026538804182239
1355.8673,936.30426,929.4873,15.566097,2624.2717,-7594.7437,-954.1674,1746.2438,4850.6475,2876.1685,2088.6035,3071.7148,-2.8067661740413676
1775.7263,1603.2423,1130.8011,8.959673,3630.0586,5381.9287,-1766.3524,618.2465,4385.003,2165.3127,4629.931,3365.7131,-1.8578992717326
-1422.2621,-340.17557,-1766.2876,23.9257755279541,4991.0493,-1018.3171,1971.5305,328.73846,4043.84,3224.739013671875,4904.06201171875,4813.94580078125,-5.296319370993906
-1905.2388,-1608.695,-517.2633,21.40950393676757,4157.6987,6802.195,-764.22864,282.3093,4510.6577,2449.631103515625,4770.52392578125,4796.9384765625,-3.155901062924738
-1589.0977,-667.36414,-611.0344,59.6093635559082,4077.9211,-4640.526,-1730.6542,-1082.5238,4463.881,3231.982421875,3712.964599609375,2728.30908203125,-3.267540984490516
838.95514,-1881.5488,93.2842,59.22872924804688,3562.7786,6267.11,153.63449,-215.04707,4708.3267,2051.26611328125,4766.04931640625,3197.125244140625,-6.2979896851715145
1054.9369,1796.1328,-301.70157,52.01117,1890.0514,7046.0537,1033.1652,508.73868,3512.6394,3228.8555,2738.4148,2078.26,-4.335143048775031
-502.77362,674.726,-756.17444,13.811575889587402,3457.7178,-4904.041,317.04388,233.90332,1236.3986,4704.75390625,2150.4052734375,4237.5078125,0.5709795358097567
1554.0935,570.9972,-250.90654,39.84648,4142.234,158.25894,-1811.4053,56.073437,2183.8206,3130.8914,2063.0476,4400.121,-4.710530701645918
-1273.6715,-1493.4663,-1240.8754,54.664635,2887.13,-2701.8972,1299.6078,1783.8602,2005.5427,4890.5586,2946.6775,3959.3516,-2.05572501506252
-1031.3754,1002.918,-1160.269,50.769783,1666.8362,5165.2827,862.1983,399.42346,4475.3726,3325.1404,4422.0444,4527.441,-1.910543005218022
35.40974,-319.26498,-250.86034,26.13346290588379,1523.9226,-2059.2156,-1234.1693,-547.99475,4587.3027,4487.1865234375,2287.956298828125,3725.802490234375,0.08617772686362166
-293.81113,-947.27673,-407.1662,20.109928,4724.233,-1687.4186,-471.29288,897.2602,3722.7996,3362.2559,3166.7412,3255.4082,-0.8556661100577202
-1337.2885,1946.0605,-1791.1748,30.46522521972656,2816.7634,-5963.457,-324.03925,-321.9352,2820.3538,2307.620361328125,2778.271728515625,4851.6015625,-0.49922649892053045
1497.1907,807.4125,138.59102,19.08693122863769,2402.748,-5235.6875,406.3365,1276.0369,256.7577,4807.55615234375,3566.817626953125,2805.076904296875,-5.534039748356424
-439.97336,-758.96265,-489.58353,14.738338,1889.5769,539.55304,440.7652,768.9928,4299.997,2034.376,4715.776,2753.357,-1.4354846053106622
339.43155,1827.275,-1196.1858,57.027554,4024.9893,2885.9868,-1692.5758,600.4728,3312.6072,3357.015,3591.9,2848.2822,1.366091653802371
